,Name,Platform,Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales
3714,SplashDown: Rides Gone Wild,PS2,2003.0,Racing,THQ,0.24,0.19,0.0,0.06
3715,Finding Nemo,XB,2003.0,Action,THQ,0.48,0.16,0.0,0.02
3716,Gex 3: Deep Cover Gecko,PS,1999.0,Platform,Eidos Interactive,0.3,0.2,0.0,0.03
3717,Violet no Atelier: Gramnad no Renkinjutsushi 2 - Gunjou no Omoide,PSP,2011.0,Role-Playing,Gust,0.0,0.0,0.02,0.0
3718,Go Go Ackman 3,SNES,1995.0,Platform,Banpresto,0.0,0.0,0.04,0.0
3719,Jillian Michaels Fitness Ultimatum 2011,Wii,2010.0,Sports,D3Publisher,0.16,0.0,0.0,0.01
3720,TransFormers Animated: The Game,DS,2008.0,Action,Activision,0.15,0.01,0.0,0.01
3721,Farming Simulator 2014,PSV,2014.0,Simulation,Focus Home Interactive,0.01,0.0,0.0,0.0
3722,Sonic & All-Stars Racing Transformed,PC,2013.0,Racing,Sega,0.0,0.01,0.0,0.0
3723,Animal Planet: Vet Life,DS,2009.0,Simulation,Activision,0.1,0.0,0.0,0.01
3724,Kung Fu Panda 2,PS3,2011.0,Action,THQ,0.04,0.04,0.0,0.02
3725,Conflict: Global Terror,PS2,2005.0,Shooter,Eidos Interactive,0.09,0.07,0.0,0.02
3726,Allied General,PS,1996.0,Strategy,SSI,0.11,0.07,0.0,0.01
3727,Jampack Volume 13 (RP-M),PS2,2005.0,Misc,Sony Computer Entertainment,0.37,0.01,0.0,0.06
3728,Battle Arena Toshinden 2,PS,1995.0,Fighting,Sony Computer Entertainment,0.15,0.1,0.41,0.05
3729,Last Ranker,PSP,2010.0,Role-Playing,Capcom,0.0,0.0,0.13,0.0
3730,NBA Live 10,X360,2009.0,Sports,Electronic Arts,0.4,0.02,0.0,0.03
3731,Worldwide Soccer Manager 2009,PC,2008.0,Simulation,Sega,0.0,1.14,0.0,0.01
3732,Marvel: Ultimate Alliance 2,Wii,2009.0,Role-Playing,Activision,0.26,0.05,0.0,0.03
3733,Soccer,NES,1985.0,Sports,Nintendo,0.18,0.23,1.53,0.02
3734,Prince of Persia: The Two Thrones,PS2,2005.0,Action,Ubisoft,0.57,0.02,0.0,0.09
3735,Mobile Suit Gundam Side Story II: Aoi o Uketsugu Mono,SAT,1996.0,Shooter,Namco Bandai Games,0.0,0.0,0.2,0.0
3736,Xena: Warrior Princess - The Talisman of Fate,N64,1999.0,Fighting,Titus,0.23,0.06,0.0,0.0
3737,Armored Core 3,PS2,2002.0,Simulation,Metro 3D,0.22,0.17,0.23,0.06
3738,Hatsune Miku: Project Diva X,PS4,2016.0,Misc,Sega,0.01,0.0,0.02,0.0
3739,Space Invaders Extreme,PSP,2008.0,Shooter,Square Enix,0.06,0.01,0.01,0.01
3740,Nintendogs + cats,3DS,2011.0,Simulation,Nintendo,1.44,1.37,0.73,0.27
3741,Metal Gear Solid: The Essential Collection (JP sales),PS2,2007.0,Adventure,Konami Digital Entertainment,0.0,0.0,0.03,0.0
3742,Demon Gaze,PSV,2013.0,Role-Playing,Nippon Ichi Software,0.06,0.03,0.08,0.02
3743,LEGO Marvel Super Heroes,WiiU,2013.0,Action,Warner Bros. Interactive Entertainment,0.31,0.35,0.02,0.06
3744,All Japan Pro Wrestling featuring Virtua,SAT,1997.0,Fighting,Sega,0.0,0.0,0.15,0.0
3745,Star Fox: Zero,WiiU,2016.0,Shooter,Nintendo,0.16,0.1,0.07,0.03
3746,Disney's Chicken Little: Ace In Action,DS,2006.0,Shooter,Disney Interactive Studios,0.06,0.0,0.0,0.0
3747,Archer Maclean's Mercury,PSP,2005.0,Puzzle,Ignition Entertainment,0.17,0.24,0.0,0.14
3748,The Secret Saturdays: Beasts of the 5th Sun,PS2,2009.0,Action,D3Publisher,0.05,0.02,0.0,0.08
3749,Cossacks: European Wars,PC,2001.0,Strategy,Strategy First,0.0,0.02,0.0,0.0
3750,Itoi Shigesato no Bass Tsuri No. 1,SNES,1997.0,Sports,Nintendo,0.0,0.0,0.17,0.0
3751,CSI: Deadly Intent,Wii,2009.0,Adventure,Ubisoft,0.13,0.13,0.0,0.03
3752,Star Wars Battlefront: Renegade Squadron,PSP,2007.0,Shooter,LucasArts,0.9,0.47,0.0,0.32
3753,TNA iMPACT: Cross the Line,DS,2010.0,Fighting,SouthPeak Games,0.05,0.0,0.0,0.0
3754,Cabela's Big Game Hunter 2005 Adventures,GBA,2004.0,Sports,Activision,0.04,0.01,0.0,0.0
3755,Hyperdevotion Noire: Goddess Black Heart,PSV,2014.0,Role-Playing,Idea Factory,0.08,0.02,0.06,0.03
3756,The Voice,X360,2014.0,Action,Activision,0.07,0.0,0.0,0.01
3757,MySims SkyHeroes,PS3,2010.0,Action,Electronic Arts,0.08,0.02,0.0,0.01
3758,Terraria,X360,2013.0,Action,505 Games,0.35,0.31,0.0,0.06
3759,The Darkness II,PS3,2012.0,Shooter,Take-Two Interactive,0.14,0.14,0.0,0.05
3760,Guitar Hero: On Tour Decades,DS,2008.0,Misc,Activision,0.85,0.58,0.0,0.16
3761,Frantix,PSP,2005.0,Puzzle,Ubisoft,0.08,0.0,0.0,0.01
3762,Astro Boy: The Video Game,PS2,2009.0,Action,D3Publisher,0.05,0.04,0.0,0.01
3763,Operation Flashpoint: Dragon Rising,X360,2009.0,Shooter,Codemasters,0.36,0.45,0.02,0.1
3764,Need for Speed Carbon,PS2,2006.0,Racing,Electronic Arts,1.22,0.05,0.05,0.01
3765,Borderlands,X360,2009.0,Shooter,Take-Two Interactive,2.39,0.73,0.03,0.29
3766,TimeSplitters 2,GC,2002.0,Shooter,Eidos Interactive,0.34,0.09,0.0,0.01
3767,Fight Night Round 3,XB,2006.0,Fighting,Electronic Arts,0.26,0.06,0.0,0.01
3768,DaGeDar,DS,2011.0,Action,GameMill Entertainment,0.09,0.0,0.0,0.01
3769,Barbie and the Three Musketeers,DS,2009.0,Adventure,Activision,0.12,0.0,0.0,0.01
3770,Port Royale 2,PC,2004.0,Strategy,Ascaron Entertainment GmbH,0.0,0.03,0.0,0.01
3771,L.A. Noire: The Complete Edition,PC,2011.0,Adventure,Take-Two Interactive,0.08,0.13,0.0,0.04
3772,White Knight Chronicles: Origins,PSP,2011.0,Role-Playing,Sony Computer Entertainment,0.0,0.04,0.09,0.02
3773,Dino Pets,DS,2009.0,Simulation,Avanquest,0.05,0.0,0.0,0.0
3774,Smuggler's Run: Warzones,GC,2002.0,Misc,Take-Two Interactive,0.06,0.02,0.0,0.0
3775,LEGO Batman: The Videogame,DS,2008.0,Action,Warner Bros. Interactive Entertainment,1.79,1.06,0.0,0.29
3776,Monster Jam,PC,2007.0,Racing,Activision,0.01,0.0,0.0,0.0
3777,PoPoLoCrois,PSP,2005.0,Role-Playing,Ignition Entertainment,0.05,0.0,0.0,0.0
3778,Winter Stars,PS3,2011.0,Sports,Deep Silver,0.01,0.06,0.0,0.02
3779,Snowboarding,PS,2000.0,Sports,Midas Interactive Entertainment,0.16,0.11,0.0,0.02
3780,Earthworm Jim,GBA,2001.0,Platform,Interplay,0.2,0.08,0.0,0.01
3781,Need for Speed Underground,GBA,2003.0,Racing,Electronic Arts,0.21,0.08,0.0,0.01
3782,CV Casting Voice,PS3,2014.0,Adventure,Namco Bandai Games,0.0,0.0,0.02,0.0
3783,Resident Evil Zero,GC,2002.0,Action,Capcom,0.54,0.27,0.45,0.04
3784,Dynasty Warriors 4 Empires,PS2,2004.0,Action,Tecmo Koei,0.0,0.0,0.32,0.0
3785,LEGO The Hobbit,PC,2014.0,Action,Warner Bros. Interactive Entertainment,0.0,0.04,0.0,0.01
3786,DC Universe Online,PC,2011.0,Role-Playing,Sony Online Entertainment,0.16,0.06,0.0,0.02
3787,Just Dance Kids 2,PS3,2011.0,Misc,Ubisoft,0.1,0.1,0.0,0.04
3788,Hulk,PS2,2003.0,Action,Universal Interactive,0.52,0.41,0.0,0.14
3789,"Ed, Edd n Eddy: The Mis-Edventures",GC,2005.0,Platform,Midway Games,0.19,0.05,0.0,0.01
3790,Knack,PS4,2013.0,Platform,Sony Computer Entertainment Europe,0.43,0.67,0.42,0.15
3791,Disney Infinity 3.0,XOne,2015.0,Action,Disney Interactive Studios,0.18,0.1,0.0,0.03
3792,Challenge Me: Brain Puzzles 2,Wii,2010.0,Puzzle,O-Games,0.0,0.06,0.0,0.01
3793,Punch-Out!!,Wii,2007.0,Sports,Nintendo,0.02,0.22,0.05,0.0
3794,Quiz Magic Academy DS,DS,2008.0,Misc,Konami Digital Entertainment,0.0,0.0,0.32,0.0
3795,Madden NFL 11,PSP,2010.0,Sports,Electronic Arts,0.35,0.0,0.0,0.03
3796,Michael Jackson: The Experience,PSV,2011.0,Misc,Ubisoft,0.05,0.04,0.0,0.02
3797,Dragon Quest & Final Fantasy in Itadaki Street Portable,PSP,2006.0,Misc,Square Enix,0.0,0.0,0.11,0.0
3798,Nicktoons: Unite!,GC,2005.0,Adventure,THQ,0.27,0.07,0.0,0.01
3799,Monsters vs. Aliens,DS,2009.0,Action,Activision,0.33,0.13,0.0,0.05
3800,Negima!? Dream Tactic Yumemiru Otome Princess,PS2,2007.0,Strategy,Konami Digital Entertainment,0.0,0.0,0.03,0.0
3801,Die Hard Trilogy,PS,1996.0,Shooter,Fox Interactive,0.85,0.58,0.0,0.1
3802,Wave Rally,PS2,2001.0,Racing,Eidos Interactive,0.13,0.1,0.0,0.03
3803,Animal Kingdom: Wildlife Expedition,Wii,2009.0,Adventure,Natsume,0.07,0.0,0.0,0.01
3804,Battlezone: Rise of the Black Dogs,N64,2000.0,Strategy,Crave Entertainment,0.06,0.01,0.0,0.0
3805,Conflict: Denied Ops,PS3,2008.0,Shooter,Eidos Interactive,0.05,0.1,0.0,0.03
3806,Racing Lagoon,PS,1999.0,Racing,Square,0.0,0.0,0.15,0.01
3807,NHL 14,PS3,2013.0,Sports,Electronic Arts,0.28,0.19,0.0,0.09
3808,The Legend of Zelda: Oracle of Seasons,GB,2001.0,Adventure,Nintendo,0.87,0.52,0.41,0.06
3809,"Crouching Tiger, Hidden Dragon",XB,2003.0,Action,Ubisoft,0.01,0.0,0.0,0.0
3810,Twisted Metal 4,PS,1999.0,Racing,989 Studios,1.07,0.16,0.0,0.04
3811,Shonen Jump's Yu-Gi-Oh! GX Card Almanac,DS,,Misc,Konami Digital Entertainment,0.0,0.0,0.02,0.0
3812,Ikki Tousen: Xross Impact,PSP,2010.0,Action,Marvelous Interactive,0.0,0.0,0.06,0.0
3813,Puzzle Star Sweep,PS,1997.0,Puzzle,Midas Interactive Entertainment,0.01,0.01,0.0,0.0
3814,You Don't Know Jack,X360,2011.0,Misc,THQ,0.19,0.0,0.0,0.01
3815,Asterix & Obelix: Kick Buttix,PS2,2004.0,Action,Atari,0.02,0.01,0.0,0.0
3816,Nicola Kanshuu: Model * Oshare Audition 2,3DS,2011.0,Action,Alchemist,0.0,0.0,0.06,0.0
3817,Outlaw Golf,XB,2002.0,Sports,TDK Mediactive,0.22,0.06,0.0,0.01
3818,The Guided Fate Paradox,PS3,2013.0,Role-Playing,Nippon Ichi Software,0.0,0.0,0.06,0.0
3819,Sherlock Holmes: Secret of The Silver Earring,Wii,2010.0,Adventure,Focus Home Interactive,0.0,0.04,0.0,0.01
3820,Line Rider 2: Unbound,DS,2008.0,Puzzle,Deep Silver,0.07,0.0,0.0,0.01
3821,Jikkyou Powerful Pro Yakuu '94,SNES,1994.0,Sports,Konami Digital Entertainment,0.0,0.0,0.41,0.0
3822,MLB 2004,PS2,2003.0,Sports,Sony Computer Entertainment,0.32,0.25,0.0,0.08
3823,Kanuchi: Shiroki Tsubasa no Shou,PS2,2008.0,Adventure,Idea Factory,0.0,0.0,0.04,0.0
3824,Medal of Honor: Rising Sun,XB,2003.0,Shooter,Electronic Arts,0.76,0.36,0.0,0.05
3825,NBA Live 99,PS,1997.0,Sports,Electronic Arts,1.13,0.05,0.0,0.03
3826,Ridge Racer Unbounded,X360,2012.0,Racing,Namco Bandai Games,0.05,0.05,0.0,0.01
3827,Peter Jackson's King Kong: The Official Game of the Movie,PSP,2005.0,Action,Ubisoft,0.16,0.01,0.0,0.02
3828,Doctor Lautrec and the Forgotten Knights,3DS,2011.0,Adventure,Konami Digital Entertainment,0.07,0.05,0.03,0.01
3829,Hoppechan: Tsukutte! Asonde! Punipuni Town!!,3DS,2013.0,Action,Nippon Columbia,0.0,0.0,0.15,0.0
3830,My Boyfriend,DS,2008.0,Simulation,DTP Entertainment,0.1,0.0,0.0,0.01
3831,Guilty Gear XX Accent Core,PS2,2007.0,Fighting,Arc System Works,0.0,0.0,0.04,0.0
3832,Pac-Man Fever,GC,2002.0,Misc,Namco Bandai Games,0.21,0.06,0.0,0.01
3833,Mr. Do!,2600,1982.0,Action,Coleco,0.26,0.02,0.0,0.0
3834,Stadium Games,GBA,2003.0,Sports,Ignition Entertainment,0.03,0.01,0.0,0.0
3835,Grisaia no Kajitsu: La Fruit de la Grisaia,PSP,2013.0,Adventure,Prototype,0.0,0.0,0.01,0.0
3836,Real Time Conflict: Shogun Empires,DS,2005.0,Strategy,Namco Bandai Games,0.06,0.0,0.0,0.0
3837,Triggerheart Exelica,DC,2007.0,Shooter,Warashi,0.0,0.0,0.02,0.0
3838,Angry Birds,PC,2011.0,Puzzle,Focus Home Interactive,0.0,0.18,0.0,0.05
3839,Extreme Pinball,PS,1995.0,Misc,Electronic Arts,0.18,0.12,0.0,0.02
3840,Freekstyle,GC,2002.0,Racing,Electronic Arts,0.07,0.02,0.0,0.0
3841,Street Hoops,GC,2002.0,Sports,Activision,0.09,0.02,0.0,0.0
3842,Plants vs. Zombies: Garden Warfare,PC,2014.0,Shooter,Electronic Arts,0.0,0.02,0.0,0.0
3843,Captain Tsubasa J: The Way to World Youth,SNES,1995.0,Sports,Namco Bandai Games,0.0,0.0,0.03,0.0
3844,Spider-Man 3,DS,2007.0,Platform,Activision,0.41,0.02,0.0,0.04
3845,Winning Eleven Playmaker 2010: Aoki Samurai no Chousen,Wii,2010.0,Sports,Konami Digital Entertainment,0.0,0.0,0.07,0.0
3846,Apache: Air Assault,PS3,2010.0,Simulation,Activision,0.11,0.07,0.0,0.03
3847,Poyo Poyo Kansatsu Nikki,3DS,2012.0,Action,IE Institute,0.0,0.0,0.02,0.0
3848,Battlefield 2: Modern Combat(JP sales),PS2,2005.0,Shooter,Electronic Arts,0.0,0.0,0.02,0.0
3849,Virtua Fighter CG Portrait Series Vol.6: Lau Chan,SAT,1995.0,Misc,Sega,0.0,0.0,0.04,0.0
3850,Ar Nosurge: Ode to an Unborn Star,PSV,2014.0,Role-Playing,Tecmo Koei,0.0,0.0,0.04,0.0
3851,MXRider,PS2,2001.0,Racing,Atari,0.16,0.13,0.0,0.04
3852,7 Roses: A Darkness Rises,PC,2015.0,Misc,Avanquest Software,0.0,0.02,0.0,0.0
3853,Planet 51,DS,2009.0,Action,Sega,0.22,0.14,0.0,0.04
3854,Street Jam Basketball,GBA,2004.0,Sports,Zoo Digital Publishing,0.02,0.01,0.0,0.0
3855,Vitamin R,PSP,2013.0,Adventure,D3Publisher,0.0,0.0,0.02,0.0
3856,Tekken Tag Tournament 2,X360,2012.0,Fighting,Namco Bandai Games,0.19,0.12,0.01,0.03
3857,Disgaea 2: Dark Hero Days,PSP,2009.0,Role-Playing,Nippon Ichi Software,0.1,0.01,0.12,0.02
3858,Aegis of Earth: Protonovus Assault,PS4,2016.0,Action,PQube,0.02,0.0,0.0,0.0
3859,Hamsterz Life,DS,2006.0,Action,Ubisoft,0.43,0.01,0.0,0.04
3860,Infinite Space,DS,2009.0,Role-Playing,Sega,0.07,0.06,0.07,0.01
3861,LEGO Batman 2: DC Super Heroes,DS,2012.0,Action,Warner Bros. Interactive Entertainment,0.43,0.27,0.0,0.06
3862,Jet Force Gemini,N64,1999.0,Shooter,Nintendo,0.78,0.28,0.07,0.02
3863,NBA Showtime: NBA on NBC,PS,1999.0,Sports,Midway Games,0.31,0.21,0.0,0.04
3864,Star Ocean: The Last Hope,X360,2009.0,Role-Playing,Square Enix,0.32,0.2,0.21,0.06
3865,Dance Central 3,X360,2012.0,Misc,Microsoft Game Studios,0.57,0.2,0.0,0.06
3866,Heroes over Europe,PS3,2009.0,Simulation,Ubisoft,0.12,0.02,0.0,0.02
3867,Tron 2.0: Killer App,GBA,2004.0,Action,Disney Interactive Studios,0.04,0.02,0.0,0.0
3868,Summon Night 5,PSP,2013.0,Role-Playing,Namco Bandai Games,0.0,0.0,0.15,0.0
3869,R-Type III: The Third Lightning,GBA,2004.0,Shooter,Zoo Digital Publishing,0.02,0.01,0.0,0.0
3870,Asphalt 3D,3DS,2011.0,Racing,Ubisoft,0.27,0.16,0.02,0.04
3871,Memories Off #5: Encore,PS2,2007.0,Adventure,CyberFront,0.0,0.0,0.02,0.0
3872,NASCAR The Game: Inside Line,PS3,2012.0,Racing,Activision,0.07,0.0,0.0,0.01
3873,NFL Street 2,GC,2004.0,Sports,Electronic Arts,0.15,0.04,0.0,0.01
3874,Math Blaster in the Prime Adventure,DS,2009.0,Misc,Majesco Entertainment,0.09,0.0,0.0,0.01
3875,World Soccer Winning Eleven 9 (JP & Others sales),PSP,2005.0,Sports,Konami Digital Entertainment,0.01,0.88,0.31,0.0
3876,Pictionary,DS,2010.0,Puzzle,THQ,0.1,0.07,0.0,0.02
3877,Tiger Woods PGA Tour 2003,GC,2002.0,Sports,Electronic Arts,0.18,0.05,0.0,0.01
3878,Q*bert,PS,1999.0,Puzzle,Atari,0.46,0.32,0.0,0.05
3879,Diner Dash: Sizzle & Serve,DS,2007.0,Puzzle,Eidos Interactive,0.34,0.03,0.0,0.03
3880,Gallop Racer 2000,PS,2000.0,Sports,Tecmo Koei,0.0,0.0,0.11,0.01
3881,Scurge: Hive,DS,2006.0,Action,SouthPeak Games,0.05,0.0,0.0,0.0
3882,Burnout,XB,2002.0,Racing,Acclaim Entertainment,0.09,0.03,0.0,0.0
3883,Chessmaster,XB,2004.0,Misc,Ubisoft,0.1,0.03,0.0,0.0
3884,.hack//Quarantine Part 4: The Final Chapter,PS2,2003.0,Role-Playing,Atari,0.09,0.07,0.0,0.02
3885,World Driver Championship,N64,1999.0,Racing,Midway Games,0.14,0.03,0.0,0.0
3886,Cartoon Network: Punch Time Explosion XL,PS3,2011.0,Fighting,Crave Entertainment,0.06,0.0,0.0,0.0
3887,Dungeon Travelers 2: The Royal Library & The Monster Seal,PSP,2013.0,Role-Playing,Aqua Plus,0.0,0.0,0.08,0.0
3888,American Idol,GBA,2003.0,Misc,Codemasters,0.15,0.06,0.0,0.0
3889,The LEGO Movie Videogame,X360,2014.0,Action,Warner Bros. Interactive Entertainment,0.69,0.52,0.0,0.11
3890,S.Y.K: Shinsetsu Saiyuuki,PS2,2009.0,Adventure,Idea Factory,0.0,0.0,0.01,0.0
3891,Tetris Ultimate,PSV,2014.0,Puzzle,Ubisoft,0.0,0.01,0.0,0.0
3892,Boku no Natsuyasumi Portable 2: Nazo Nazo Shimai to Chinbotsusen no Himitsu,PSP,2010.0,Adventure,Sony Computer Entertainment,0.0,0.0,0.07,0.0
3893,World Championship Poker,GBA,2004.0,Misc,Crave Entertainment,0.12,0.05,0.0,0.0
3894,Super Robot Wars OG Saga: Masou Kishin - The Lord of Elemental,DS,2010.0,Strategy,Namco Bandai Games,0.0,0.0,0.12,0.0
3895,WRC: FIA World Rally Championship,PS3,,Racing,Black Bean Games,0.0,0.15,0.01,0.05
3896,Titanic Mystery,Wii,2010.0,Puzzle,O-Games,0.02,0.0,0.0,0.0
3897,NBA Street,PS2,2001.0,Sports,Electronic Arts,2.19,0.22,0.0,0.38
3898,MAG: Massive Action Game,PS3,2010.0,Shooter,Sony Computer Entertainment,0.77,0.3,0.09,0.16
3899,Night at the Museum: Battle of the Smithsonian,DS,2009.0,Action,Majesco Entertainment,0.12,0.18,0.0,0.04
3900,Shrek 2,XB,2004.0,Platform,Activision,0.4,0.13,0.0,0.02
3901,Kiku! Kaku! Kotoba o Fuyasu! Hajimete no Eigo Training,DS,2007.0,Misc,Benesse,0.0,0.0,0.1,0.0
3902,Despicable Me: The Game,PS2,2010.0,Platform,D3Publisher,0.05,0.04,0.0,0.01
3903,Baseball,GB,1989.0,Sports,Nintendo,0.66,0.27,0.65,0.03
3904,Bicycle Casino 2005,XB,2004.0,Misc,Zoo Digital Publishing,0.17,0.05,0.0,0.01
3905,Cross Ange: Tenshi to Ryuu no Rondo tr.,PSV,2015.0,Action,Namco Bandai Games,0.0,0.0,0.02,0.0
3906,Hummer Badlands,PS2,2006.0,Racing,Global Star,0.02,0.02,0.0,0.01
3907,NBA Showtime: NBA on NBC,N64,1999.0,Sports,Midway Games,0.23,0.02,0.0,0.0
3908,Jampack Summer 2001,PS2,2001.0,Misc,Sony Computer Entertainment,0.36,0.28,0.0,0.1
3909,Memories Off 6: T-Wave,PS2,2008.0,Adventure,5pb,0.0,0.0,0.04,0.0
3910,Dig Dug,2600,1982.0,Puzzle,Atari,1.52,0.1,0.0,0.02
3911,Def Jam Icon,X360,2007.0,Action,Electronic Arts,0.3,0.01,0.0,0.03
3912,Ice Age: Dawn of the Dinosaurs,X360,2009.0,Action,Activision,0.09,0.03,0.0,0.01
3913,Tomb Raider: Underworld,Wii,2008.0,Action,Eidos Interactive,0.14,0.28,0.0,0.06
3914,Crazy Machines,Wii,2010.0,Puzzle,DTP Entertainment,0.01,0.01,0.0,0.0
3915,Baten Kaitos Origins,GC,2006.0,Role-Playing,Nintendo,0.06,0.02,0.02,0.0
3916,Real Sound: Kaze no Riguretto,SAT,1997.0,Adventure,Warp,0.0,0.0,0.07,0.0
3917,Tony Hawk's Pro Skater 4,GBA,2002.0,Sports,Activision,0.41,0.15,0.0,0.01
3918,Crysis,PC,2007.0,Shooter,Electronic Arts,0.0,0.69,0.0,0.03
3919,WTA Tour Tennis,GBA,2002.0,Sports,Konami Digital Entertainment,0.01,0.0,0.0,0.0
3920,Board Game: Top Shop,PS,1999.0,Misc,Success,0.01,0.01,0.0,0.0
3921,Lost Planet 2,X360,2010.0,Shooter,Capcom,0.38,0.24,0.08,0.06
3922,International Superstar Soccer 2000 (All region sales),N64,1999.0,Sports,Konami Digital Entertainment,0.01,0.26,0.22,0.02
3923,Turbo: Super Stunt Squad,Wii,2013.0,Sports,D3Publisher,0.0,0.02,0.0,0.0
3924,Jissen Pachi-Slot Hisshouhou: Hokuto no Ken,PS2,2004.0,Misc,Sammy Corporation,0.0,0.0,1.0,0.0
3925,The Price is Right,Wii,2008.0,Misc,Ubisoft,0.77,0.0,0.0,0.06
3926,Densetsu no Stafi 2,GBA,2003.0,Platform,Nintendo,0.0,0.0,0.43,0.01
3927,Naruto Ultimate Collection,PS2,2008.0,Misc,Namco Bandai Games,0.06,0.04,0.0,0.01
3928,Double Dragon Advance,GBA,2003.0,Action,Atlus,0.03,0.01,0.0,0.0
3929,Kuroko's Basketball: Miracle Game,3DS,2014.0,Sports,Namco Bandai Games,0.0,0.0,0.1,0.0
3930,Mario Paint,SNES,1992.0,Misc,Nintendo,1.43,0.54,0.71,0.07
3931,Homefront: The Revolution,PS4,2016.0,Shooter,Deep Silver,0.05,0.19,0.03,0.04
3932,MVP Baseball 2004,PS2,2004.0,Sports,Electronic Arts,1.1,0.06,0.0,0.18
3933,Hokuto no Ken,PS2,2007.0,Fighting,Sega,0.0,0.0,0.05,0.0
3934,The Incredible Hulk: Ultimate Destruction,XB,2005.0,Action,Vivendi Games,0.17,0.05,0.0,0.01
3935,History Civil War: Secret Missions,PS2,2008.0,Shooter,Activision,0.07,0.06,0.0,0.02
3936,Dark Souls III,XOne,2016.0,Role-Playing,Namco Bandai Games,0.23,0.09,0.0,0.03
3937,FlatOut,XB,2004.0,Racing,Empire Interactive,0.12,0.04,0.0,0.01
3938,Disney Sing It: Pop Hits,Wii,2009.0,Misc,Disney Interactive Studios,1.08,0.28,0.0,0.13
3939,Tomb Raider: Underworld (Others sales),PS2,2009.0,Adventure,Eidos Interactive,0.0,0.21,0.0,0.04
3940,MC Groovz Dance Craze,GC,2004.0,Misc,Mad Catz,0.15,0.04,0.0,0.01
3941,Tales of Berseria,PS3,2016.0,Role-Playing,Namco Bandai Games,0.0,0.0,0.11,0.0
3942,Legacy of Kain: Soul Reaver,PS,,Action,Eidos Interactive,0.58,0.4,0.0,0.07
3943,Dark Sector,X360,2008.0,Shooter,D3Publisher,0.22,0.2,0.01,0.05
3944,Shining Resonance,PS3,2014.0,Role-Playing,Sega,0.0,0.0,0.14,0.0
3945,Earth Defense Force 2: Invaders from Planet Space,PSV,2014.0,Action,Xseed Games,0.04,0.01,0.04,0.02
3946,Adventures to Go!,PSP,2008.0,Role-Playing,Zushi Games,0.1,0.0,0.01,0.01
3947,Pac-Man World 3,PSP,2005.0,Platform,Namco Bandai Games,0.07,0.0,0.0,0.01
3948,Super Adventure Island,SNES,1992.0,Platform,Hudson Soft,0.0,0.0,0.22,0.0
3949,Pac-Man and the Ghostly Adventures 2,X360,2014.0,Adventure,Namco Bandai Games,0.05,0.05,0.0,0.01
3950,World Soccer Winning Eleven 9 Bonus Pack,PS2,2006.0,Sports,Konami Digital Entertainment,0.0,0.0,0.14,0.0
3951,Frogger: Ancient Shadow,PS2,2005.0,Platform,Konami Digital Entertainment,0.05,0.04,0.0,0.01
3952,Nightshade,PS2,2003.0,Action,Sega,0.06,0.04,0.0,0.01
3953,Viewtiful Joe,GC,2003.0,Action,Capcom,0.38,0.1,0.12,0.02
3954,Rise of the Tomb Raider,PC,2016.0,Adventure,Square Enix,0.0,0.09,0.0,0.01
3955,Major Dream: Major DS Dream Baseball,DS,2008.0,Sports,Takara Tomy,0.0,0.0,0.02,0.0
3956,Lemony Snicket's A Series of Unfortunate Events,PS2,2004.0,Platform,Activision,0.31,0.24,0.0,0.08
3957,Yakuza Zero: The Place of Oath,PS3,2015.0,Action,Sega,0.0,0.0,0.25,0.0
3958,X-Men: Destiny,DS,2011.0,Action,Activision,0.05,0.01,0.0,0.0
3959,Chronicles of Mystery: Curse of the Ancient Temple,DS,2009.0,Adventure,City Interactive,0.07,0.11,0.0,0.02
3960,Fantastic 4,XB,2005.0,Action,Activision,0.2,0.06,0.0,0.01
3961,Agatha Christie: The ABC Murders,DS,2009.0,Adventure,JoWood Productions,0.08,0.01,0.0,0.01
3962,Wild ARMs 2,PS,1999.0,Role-Playing,Sony Computer Entertainment,0.19,0.13,0.31,0.04
3963,EA Sports Active 2,X360,2010.0,Sports,Electronic Arts,0.18,0.17,0.0,0.04
3964,Dragon Age: Origins,X360,2009.0,Role-Playing,Electronic Arts,1.76,0.56,0.03,0.22
3965,Langrisser III,SAT,1996.0,Strategy,NCS,0.0,0.0,0.2,0.0
3966,MotoGP 08,X360,2008.0,Racing,Capcom,0.11,0.2,0.0,0.04
3967,Star Fox 64,N64,1997.0,Shooter,Nintendo,2.78,0.58,0.64,0.04
3968,Harry Potter and the Deathly Hallows - Part 2,DS,2011.0,Action,Electronic Arts,0.12,0.1,0.0,0.02
3969,James Bond 007: Legends,WiiU,2012.0,Shooter,Activision,0.07,0.05,0.0,0.01
3970,Hayate no Gotoku! Nightmare Paradise,PSP,2009.0,Adventure,Konami Digital Entertainment,0.0,0.0,0.03,0.0
3971,Moto Racer World Tour,PS,2000.0,Racing,Sony Computer Entertainment,0.21,0.14,0.0,0.02
3972,MySims Party,DS,2009.0,Simulation,Electronic Arts,0.15,0.12,0.0,0.03
3973,The Peanuts Movie: Snoopy's Grand Adventure,X360,2015.0,Action,Activision,0.0,0.02,0.0,0.0
3974,Pocket Fighter,SAT,1998.0,Fighting,Capcom,0.0,0.0,0.03,0.0
